timestamp,ca,symbol,chain,price,market_cap,liquidity,buys_5m,sells_5m,buys_1h,sells_1h,txns_24h,volume_5m,volume_1h,volume_24h,age_minutes,rsi_5m,rsi_15m,liq_to_mc,buy_sell_ratio,label_outcome,mc_after_3d,ml_predicted_mc,ml_confidence
2026-02-05T11:21:34.267210,9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump,Goyim,solana,0.002853,2853944.0,204200.51,29,21,175,314,22459,8105.31,66459.57,3420883.02,5534,58.0,35.79,7.155028620043001,0.5573248407643312,,,2853944.0,0
2026-02-05T11:21:50.098554,HPD1g1eNSLHYMG15zhxJX7NZhGAEunEFrEpo5X1YBAGS,MANGAMURA,solana,9.149e-05,91493.0,22026.03,40,28,2405,1775,8070,3122.13,254140.29,465619.48,89,58.82,57.54,24.074005661635315,1.3549295774647887,,,91493.0,0
2026-02-05T11:22:04.566435,CSrwNk6B1DwWCHRMsaoDVUfD5bBMQCJPY72ZG3Nnpump,Franklin,solana,0.0001653,165366.0,65715.27,1,3,27,11,1125,846.74,2948.68,87331.22,95027,25.0,71.05,39.73928739886071,2.4545454545454546,,,165366.0,0
2026-02-05T11:24:57.996235,2akXpuyFXAVN5YofZpZMfBp2Vxognpmv9NooBMuHpump,ELON,solana,0.001349,1349383.0,170920.44,5,9,95,81,7057,584.94,11773.36,918383.03,9379,35.71,53.98,12.666562421491898,1.1728395061728396,,,1349383.0,0
2026-02-05T11:25:19.794986,CDbW2djfCGibjqbBEkuCZdyEXhQ7EE783b9pVbdJBAGS,ELIZAOK,solana,8.341e-05,83415.0,20820.11,23,20,345,280,10221,3728.37,42720.37,574898.81,333,53.49,55.2,24.95967152190853,1.2321428571428572,,,83415.0,0
2026-02-05T11:25:56.013408,ED7RpUdWPNxVGc1mdnUw2WNorPufHw5jMZF9kK7DBAGS,MNGMR,solana,2.607e-06,2608.0,3664.37,2,3,90,153,3295,179.45,6913.2,156590.84,116,40.0,37.04,140.50498466257667,0.5882352941176471,,,2608.0,0
2026-02-05T11:26:15.668037,GWBgds4wofv5jTpvpfmyMhPtJs8epDNWFVMVVohApump,BigTrump,solana,2.411e-06,2411.0,3956.57,2,0,27,29,2476,41.44,788.57,169231.21,127,66.67,48.21,164.10493571132312,0.9310344827586208,,,2411.0,0
2026-02-05T11:26:36.266655,jk1T35eWK41MBMM8AWoYVaNbjHEEQzMDetTsfnqpump,SOL,solana,0.00389,3244954.0,267651.05,7,1,96,40,5576,663.51,16683.55,962644.43,54114,87.5,70.59,8.248223241377227,2.4,,,3244954.0,0
2026-02-05T11:28:06.267113,8Xr9pkTvbc5ZFKWoSNZSbif7XWYWrG68evhy2aqtpump,suraj,solana,4.49e-05,44900.0,17089.63,8,6,140,132,3976,514.92,16003.79,177982.39,217,57.14,51.47,38.06153674832962,1.0606060606060606,,,44900.0,0
2026-02-05T11:28:21.536071,BwTr4zt6sDj4DMzR7cW1WWTfCXQfco4JrWJg7tFQpump,███,solana,1.889e-06,1889.0,3558.6,0,1,0,9,4470,0.01,39.52,408189.02,160,0.0,0.0,188.38538909475912,0.0,,,1889.0,0
2026-02-05T11:28:35.925129,DcoSTyxQSkzPb3N56gBSPMLadY7Wzd6vYx7neetTpump,Trout,solana,3.054e-06,3054.0,4389.1,0,1,55,79,3324,4.98,1983.98,83787.92,185,0.0,41.04,143.71643745907008,0.6962025316455697,,,3054.0,0
2026-02-05T11:30:01.100158,H8zaHqSPGTZp3trisdE2HRiHpfVjVK2CLN8HpyrYpump,PEARL,solana,3.229e-06,3230.0,4513.04,0,3,5,9,7712,47.22,254.43,94629.65,204,0.0,35.71,139.72260061919505,0.5555555555555556,,,3230.0,0
2026-02-05T11:30:20.036016,N2k4rFSqiyGbAzKRP8T45zCgZgVoJWiytcqmuJPpump,AD,solana,1.773e-06,1773.0,3354.11,0,0,1,3,693,0.0,15.29,29120.52,207,0.0,25.0,189.17710095882688,0.3333333333333333,,,1773.0,0
2026-02-05T11:30:39.999796,6JRNWjT4rD3RndFXX2xufR9RAp9ipaknuAcKcqrvpump,Hitorā,solana,1.783e-06,1783.0,3371.18,0,0,1,3,1348,0.0,12.84,60258.92,225,0.0,25.0,189.0734716769489,0.3333333333333333,,,1783.0,0
2026-02-05T11:31:07.401515,9CaWKwDJPFTrkJuk5dj1Vyc2TBse9CjQFmomVGkrpump,CRY,solana,0.0002002,194911.0,40131.05,2,2,45,24,9137,108.58,4990.94,989207.26,3445,50.0,65.22,20.589422864794702,1.875,,,194911.0,0
2026-02-05T11:31:32.431978,8F6WywnWepeJVbBcZ8cAPxNSsa7LNjbTXzoe5qatpump,Elonius,solana,8.632e-06,8632.0,7401.0,4,6,32,16,4767,231.95,1260.65,155944.68,265,40.0,66.67,85.73911028730305,2.0,,,8632.0,0
2026-02-05T11:32:27.666728,Cs4WbW2rxCDddXTxTEBgutt6rdvRknBuTXAZemvbpump,NOMOREWAR,solana,1.857e-05,18572.0,12241.28,16,3,663,678,45041,243.33,45293.68,1148656.5,1911,84.21,49.44,65.91255653672195,0.9778761061946902,,,18572.0,0
2026-02-05T11:32:53.664108,DNhQZ1CE9qZ2FNrVhsCXwQJ2vZG8ufZkcYakTS5Jpump,ZAUTH,solana,0.004319,4319824.0,203558.25,7,27,43,92,2057,3979.99,23295.48,324262.47,83187,20.59,31.85,4.712188505828015,0.4673913043478261,,,4319824.0,0
2026-02-05T11:33:09.269299,HiNkp9CdKqTgPtB6WnnrrUAu9YwQqnrvT6Ceuxoypump,Accelerando,solana,0.001064,1058982.0,108449.08,3,4,57,57,8818,2337.58,22368.92,1199748.46,8029,42.86,50.0,10.240880392679006,1.0,,,1058982.0,0
2026-02-05T11:33:24.073252,GBKRCrH5c6PwA8mjoXBJApv793WuqAFdqEaAxMudpump, HARDEN,solana,8.235e-06,8221.0,7563.7,8,2,36,32,21515,232.69,1604.04,705952.15,327,80.0,52.94,92.00462230872157,1.125,,,8221.0,0
2026-02-05T11:33:38.666916,3zu566b1F47koogyGwwmcCDeo4dnE8zaYCtWYmBfpump,CULTURE,solana,0.0004527,452682.0,57636.56,4,5,70,49,1913,414.48,10033.01,255335.83,23268,44.44,58.82,12.732240292302322,1.4285714285714286,,,452682.0,0
2026-02-05T11:33:55.095441,GYtqxSLL5UAaSQwPWDdhKMwrgjxeJActzpNvsEsRpump,Dex,solana,0.0001353,135304.0,32057.74,10,5,48,28,6451,1476.72,6618.81,615348.96,3652,66.67,63.16,23.693120676402767,1.7142857142857142,,,135304.0,0
2026-02-05T11:34:17.284073,6Njht5ayBXSH2TE4K6wRFbNxqanUPhNpAFJCs92bonk,BTC2,solana,0.0008141,17097.0,12105.74,5,8,77,71,4763,461.86,8109.89,215857.14,300,38.46,52.03,70.8062233140317,1.0845070422535212,,,17097.0,0
2026-02-05T11:34:34.435894,6CtdoFoxStKoFh2ceHpb3XJ6AKoZmFKmuaFS63Fnpump,Attention,solana,9.856e-05,98559.0,27152.26,4,3,14,23,1597,1217.03,2583.81,97491.02,3179,57.14,37.84,27.54924461490072,0.6086956521739131,,,98559.0,0
2026-02-05T11:34:50.176792,8aAGMqALKPeMYQjokHrCqujA2EzFTqrQPWWFFTpgpump,MasterBait,solana,4.312e-06,4247.0,5319.21,2,7,30,50,10846,29.89,1811.43,359557.88,330,22.22,37.5,125.24629149988226,0.6,,,4247.0,0
2026-02-05T11:35:04.038065,2qbMUqodGF3rqnc6VsoXSELMVttkiVYqhzUF5Z2Spump,BOGGED,solana,1.691e-06,1691.0,3282.3,0,0,0,2,1119,0.0,47.39,33264.3,321,0.0,0.0,194.1040804257836,0.0,,,1691.0,0
2026-02-05T11:35:29.373675,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,PENGUIN,solana,0.02174,21745738.0,728949.27,17,55,175,216,10569,31319.11,87680.64,2244995.01,28326,23.61,44.76,3.352147763391613,0.8101851851851852,,,21745738.0,0
2026-02-05T11:35:44.065952,2k8yZaJjf61unHriuqdmvbxe7CUhEYML5kVJDbcotKjU,BFS,solana,0.1194,119439052.0,1227755.57,7,0,88,45,2165,11666.73,61345.29,1310008.74,28077,87.5,66.17,1.027934791377949,1.9555555555555555,,,119439052.0,0
2026-02-05T11:36:30.260894,5YuYWmk34DR1uKUyE8hYx2u4okQ9rBW1YJoiE4Lcpump,Henry,solana,0.0001441,144139.0,36036.05,22,12,67,32,2141,8915.94,20318.84,84076.93,12319,64.71,67.68,25.00090190718681,2.09375,,,144139.0,0
2026-02-05T12:22:17.674401,0x379a08c44744ef5b222179d856056d7741d4ffff,49,bsc,0.0005172,517271.0,73701.25,1350,993,4222,3164,7386,378110.23,1098541.66,1098541.66,16,57.62,57.16,14.24809239257565,1.3343868520859672,,,517271.0,0
2026-02-05T12:22:33.576749,0xae08caaceda0b850ee810117546755891aa04444,49,bsc,5.007e-05,50071.0,21957.19,385,260,385,260,645,34797.0,34797.0,34797.0,5,59.69,59.69,43.85211000379461,1.4807692307692308,,,50071.0,0
